population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
26509413,3.6092356422439,112.18548084399,90.3916659964074,5,5770,7690731245.66747,46.5156572562267,8.60998284136304,458
314401,2.73842131602098,37.791482499104,40.7293250807417,6.9,4730,63826812.8939882,9.51763428908971,6.59515840370508,462
13623541,1.54352596927583,28.4289450992381,32.547728736082,6.4,480,148327333.705249,25.8489227756132,29.7905088284199,466
405308,2.77378006481472,123.401813807144,130.43494354988,8.6,16360,25035392674.1694,19.9444752915047,1.86933185267444,470
54208,4.267174633902665,25.2370551906515,87.5295859557715,6.9,3390,1876761.72458854,11.4127830568033,7.08969548538235,584
3081229,6.24103328142821,42.3641033273967,40.4243978856356,6.9,1150,154601638.1236,43.8696653715372,16.6071438940053,478
1233996,8.91350105650142,58.4439359267735,68.618925831202,7.6,5910,106758059.108919,22.336339570153,4.9064477049401,480
106886790,3.62946762439129,27.3251618939288,28.7675627378746,4.5,8750,22136421899,34.1952791030793,3.0758258597569,484
110301,4.6373700858563,18.0815084212905,77.2409215202694,6.9,2450,612993898.0538795,4.05455666302098,22.3397395065668,583
2880967,12.7777557830351,45.256336863744,91.8984269562497,7.1,1280,258680000,18.7779036510703,14.4988760781159,498
2581242,5.09516661663158,59.443265077556,53.4867180194267,6.9,1110,245460000,38.6926063353314,17.6436708395409,496
615025,2.92451258123646,40.5615430103488,77.4331924951224,6.9,4320,612993898.0538795,17.6826544999168,8.21140388518037,499
30833022,3.28476166954809,32.7553597974598,38.740926983056,6.5,2240,2460787164.18439,25.1539438817653,13.6024808365782,504
20735982,13.2450879071,27.1869215107513,36.9054509494828,6.9,430,251141650.25,19.3591156567243,23.9025047961334,508
48088274,19.9964873359215,37.791482499104,40.7293250807417,6.9,230,275812653.011391,18.5099044448332,45.0862126666506,104
1986558,4.96116689298916,45.3668335484121,41.4671357775877,6.9,4000,610197796.107759,30.1227634369521,9.64647103887118,516
10294,4.267174633902665,37.791482499104,40.7293250807417,6.9,3525.0,612993898.0538795,24.8591176319147,7.82080658741648,520
26518971,6.92033580707588,13.4465909577363,31.3153967991879,6.9,330,-6647983.90370767,16.0679668054868,32.3664850386189,524
16346101,1.10150106517704,68.1811183379922,59.5910330410267,8.7,45270,375506013118.293,21.2063721246916,1.94595463830049,528
235750,4.267174633902665,23.8931284444354,44.1273860343091,6.9,3525.0,749088411.734889,27.9138444462876,1.72712586317313,540
4184600,3.36540196171992,29.6086137531685,29.9946512871794,6.9,26400,2912645686.56863,22.9953954559196,4.98360503244111,554
5529811,9.1401996677772,31.2671979265717,56.0431515437111,6.9,1200,286800000,20.8748117168895,15.8999301564328,558
14365168,0.0404858299595059,13.8704426231817,22.6609305610612,6.9,350,40310044.1411645,16.6265686310414,39.7450785783419,562
