population,exports,imports,iso_code
120921,34.8530624421868,41.8544509495606,308
168606,18.9755529685681,50.291036088475,316
16087418,18.4950463014753,27.5743740998868,320
12240789,44.6602984531211,56.5913353153077,324
1879826,27.7739726207238,33.0730442981031,624
763252,34.8530624421868,41.8544509495606,328
10863543,11.0696515108538,34.6869902703326,332
9626842,43.0938548370178,58.7192562426045,340
7393200,188.902399636639,187.893267098083,344
9787966,85.919564059938,79.3089515487009,348
343400,45.7322400076772,41.2467069682322,352
264498852,20.1773044351106,19.17819263535,360
84505076,22.7356882630098,22.0091825028989,364
39621162,33.9160634134979,25.8648489788178,368
4807388,121.01688342861,98.9870968481211,372
8713300,29.2422558707299,27.3181280592463,376
60536709,30.733733319636,27.8704426276557,380
2808376,34.6570625717339,48.8661099457791,388
126972000,17.5914391047836,16.831774467385,392
10215381,34.3683691257941,55.3632313677608,400
18037776,32.3977529369879,24.427634998983,398
48948137,12.7366599413725,23.2583979340349,404
120362,15.6989326133258,103.391854304366,296
25516321,34.8530624421868,41.8544509495606,408
51361911,40.9342069409884,36.1867108656532,410
4124904,51.1963155925274,46.6437308648816,414
6198200,34.2528413648354,66.3646044484224,417
6997917,34.8530624421868,41.8544509495606,418
1942248,61.5894393630579,62.219461865291,428
6109252,21.9269331861763,46.5284960727365,422
2170617,46.027263048801,98.2631100675666,426
4796631,34.8530624421868,41.8544509495606,430
6378261,27.1972557138798,20.3517104782416,434
2828403,73.5951637391515,71.2781916542974,440
596336,192.747503540731,161.046488439573,442
638609,80.4430897220871,34.3148757901289,446
2074502,55.145719342637,68.9915645536526,807
26169542,30.9026308764808,34.4407706317849,450
17881167,34.8530624421868,41.8544509495606,454
31975806,70.0117320430515,63.143458839475,458
472442,72.3074511949619,79.2561943207628,462
19311355,22.2140939375412,35.8543543888534,466
467999,154.665516548305,136.09975881013,470
47187,39.2965979163016,86.562026560396,584
4160015,34.5056633539709,44.3092844495023,478
1264613,48.1551661058958,53.0950955989181,480
122839258,37.6515684577081,39.4641760467353,484
110430,29.9609618323775,71.063292340621,583
2755189,31.0987617764912,54.5384299113688,498
3096030,59.1666792690871,56.7662226015459,496
622373,41.0551905042252,64.4997744872114,499
35528115,32.6064609907781,41.5668968878792,504
28569441,38.5790510296602,61.1397606569416,508
52288341,25.9427297188825,35.0787520210575,104
2364534,33.6208046048214,47.5988628123229,516
11682,60,82.0689655172414,520
28183426,7.81218865551465,36.8302219660981,524
17131296,83.391768024212,72.6364431968743,528
270810,21.0086652501489,37.9219497999573,540
4813600,27.5639262183464,26.6172404781227,554
6480532,41.3390492880402,55.0418920582506,558
21737922,13.2943709287753,26.264891699024,562
193495907,13.1715621009489,13.1760368999616,566
50729,69.2948717948718,62.1153846153846,580
4541854,45.7152598634904,43.2375665017659,512
216379655,8.22161246904219,17.25042393966,586
17837,34.8530624421868,41.8544509495606,585
4096063,41.8036991963371,45.6242130968591,591
9114796,34.8530624421868,41.8544509495606,598
6355404,38.4407840459973,33.0414286752743,600
31605486,24.7198719746973,22.7936783872998,604
106738501,29.5522908546692,38.6160788880035,608
37974826,52.0556850585588,49.2255372973693,616
10300300,42.7242663980773,41.7148741234948,620
2711755,52.889422628417,38.6051652911024,634
19588715,42.3343189454166,44.8218377287421,642
144496739,26.0908809797568,20.7856433573743,643
12230339,20.5283852817577,33.1468863567186,646
207630,29.6622775974347,44.3488074340593,882
34056,168.778681335859,145.071642434811,674
208036,34.8530624421868,41.8544509495606,678
34193122,34.8530624421868,29.3319458106613,682
15157793,21.9300831477167,35.775196697845,686
7020858,50.4715286434326,57.0561904686686,688
95843,99.9939461392667,110.240338271111,690
7677565,26.1928950754783,48.2949346977249,694
5612253,171.397022719441,144.988739558533,702
40574,78.2747304266292,86.3384903891233,534
5439232,95.0743273195023,92.9847860768712,703
2066388,83.1255055788893,74.1489331452806,705
643634,38.6791801808019,43.5183907252778,90
14864221,17.7215189873418,82.4389374220004,706
56641209,27.3400757812216,26.1958560481525,710
10658226,34.8530624421868,41.8544509495606,728
46593236,35.1305643393675,31.5264965264277,724
21444000,20.2242000359935,26.9162097641559,144
47785,34.8530624421868,41.8544509495606,659
177163,34.8530624421868,41.8544509495606,662
105549,34.8530624421868,41.8544509495606,670
40679828,0.664361795694522,0.79802274620109,729
587559,34.8530624421868,41.8544509495606,740
1151390,43.5131078705156,44.2852600263443,748
10057698,43.734721932138,41.2000275021437,752
18983373,19.3396755851813,41.7111765867818,760
8925525,14.9285396132184,38.8577201894022,762
56267032,15.1402777418547,17.098663264222,834
70898202,66.6728324663767,54.2185949672612,764
1243235,2.39263912079763,55.843585587989,626
7852795,25.2702383202812,32.8653744344397,768
105415,22.157027423774,65.8104543121672,776
1478607,34.8530624421868,41.8544509495606,780
11811443,41.7207863819275,54.0884116006529,788
82089826,26.0394223439924,29.7227464055755,792
5968383,22.4683973422127,31.1069593647828,795
39844,34.8530624421868,41.8544509495606,796
10828,34.8530624421868,41.8544509495606,798
40127085,16.6611294213088,20.1759235118685,800
44831135,48.1249163515559,55.9100665598426,804
9068296,98.3423922101414,74.4610327858834,784
66058859,30.6724482591913,32.1271189367139,826
325122128,12.2617381180006,15.0174229040067,842
3422200,26.1470121161237,20.6576930073329,858
32388600,20.7480654924693,27.0365938643071,860
290239,47.6598973537502,57.8644521493535,548
30563433,34.8530624421868,41.8544509495606,862
94033048,81.7625162756667,79.217555714616,704
4454805,15.7242063492063,52.7244543650794,275
30034389,8.70910937937238,62.5683675524685,887
17298054,34.9928577635918,36.5928368906648,894
14751101,19.6589047980833,30.370807458659,716
