population,inflation,exports,imports,income,gni,fdi,industry,agri
8439052,2.15951626835596,16.8808993524959,27.2873571345206,1.3,950,1010500000,25.1438963960235,13.2579915795139
4153014,3.0419466709453102,27.6439467786027,94.1765947855901,5.5,1260,176780594.760508,24.3568468974682,13.2629920286002
173486281,4.85844749902668,9.5648982609794,11.4172682172491,2.5,4190,28385675614.9902,21.746711247782,4.64598154008681
19586,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,7915398865.6,24.7271799142688,10.7463953744479
327045,-0.415627597672449,55.8163396178017,48.4032320123124,5.5,14000,747868668.6,55.184591509555,1.23498012055919
8210624,2.57304281890204,42.7497878044332,47.3251738534172,5.5,1480,818788154.863275,22.3384390712016,12.9586243402131
11533554,-1.07261362759535,8.35400550573099,26.9008102757514,5.5,260,7925950.8299,22.4646377615114,27.2522866567535
6180180,3.38542427340455,7.57575757575758,15.9639877031181,5.5,140,-475191.305312188,16.1196105401845,47.6353041282389
449627,4.35643374510448,20.9759456250155,59.9930743390288,5.5,1280,53935025.3549158,23.3770420275233,13.6433699432316
11899006,4.00820702088783,40.5441861783592,53.6327018993656,5.5,300,102225822.011716,18.039826425752,40.9038529945708
14698973,1.87174500672009,19.4286005669288,17.8097792795526,5.5,750,35009801.8441187,27.4605534316155,18.9787903350983
30401286,1.73484295105918,41.8611849983679,38.2538443145616,5.5,21450,27456044687.0987,27.8717394388625,2.19621258496483
38295,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,6475829999.9,24.7271799142688,10.7463953744479
3655360,-1.41420220082553,19.2236502785935,23.9886936193025,5.5,270,5976946.5274,24.7271799142688,10.7463953744479
7981889,-8.02505962727455,18.3181207710371,32.1897469932452,5.5,200,24524970.8055,12.2143930408578,38.0688010842374
15176410,3.33687917526016,28.3091138856907,26.3864959463595,5.5,5150,8761016217.84,27.0228972443886,5.29404331973278
1252735000,-1.40147268276465,18.1624767570614,15.3616850048872,6.5,860,41014000000,45.3598634431924,16.0647884668303
38585033,10.873687085747,18.3465787501541,17.8027005640253,2,2360,1507907130.44589,26.7207875591071,13.0007715171454
526443,3.0419466709453102,8.83595307120855,26.9212040224678,5.5,710,271000,12.2061288276862,29.3763589418373
47227238,284.894975914087,23.6356699193136,17.5419908998392,5.5,100,11160000,18.7144488639215,52.3661649268665
3016659,4.14267137284048,72.2900710687918,59.1041192299731,5.5,500,-68298651.8368345,61.2709583937073,8.35575795211481
3901430,10.0452817292494,42.5578657678708,44.9807480213625,3.9,3450,619469212,25.7329775519152,11.1096929661764
16345894,0.702375805956019,28.7375016334886,27.156061056905,5.5,720,235348766.1991,14.3674680261875,15.2177670995594
4512597,4.01913875598084,30.145163845497,36.1362646968159,5.5,5220,1454741833.64146,23.9611575878752,5.40406562975163
11070094,3.0419466709453102,14.5374790771003,17.3314531691585,5.5,2400,176780594.760508,25.39325828753,6.12417967863001
931600,1.62999999999998,66.9264571223466,64.2828627390816,5.5,14340,813054280.084962,18.4881644373395,3.8989428314738
10283860,2.1354484441733,42.7603315249161,43.2388970533732,5.5,6110,6312596675.96249,33.7711824723045,3.2176008429713
5321799,2.49779544404528,39.3484366798101,33.3487612672171,5.5,33060,16847919225.9809,22.6383309082148,1.94099084193556
719371,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,3212901.12029529,24.7271799142688,10.7463953744479
68698,1.17947787394178,28.8060954910355,36.7912681156118,5.5,4270,17955555.5555556,15.0577728160759,12.137315099079
8411374,6.4705418684693,34.9811021074665,41.3216511739672,5.5,2520,1344900000,33.1584737925779,7.82103071357272
12412046,52.2423509075189,26.3775416402476,22.82370915869,2.6,1780,648410000,28.7803284365777,17.5713518152118
69907887,3.07949912638328,15.0520156046814,23.3094928478544,8.9,1260,1065300000,28.4008452535761,15.9086475942783
5923852,0.514827130192974,24.3964014453133,36.5940881748165,2.5,1790,215800000,26.8741488650012,7.93373157168383
655029,0.372266170311917,28.8060954910355,36.7912681156118,5.5,720,154296173.9421,24.7271799142688,10.7463953744479
2356477,3.0419466709453102,9.53440754918544,86.7248286299297,5.5,300,83222099.9,20.8742099172082,22.7223359743613
1390244,3.29611089718906,69.866107922999,74.2503456699339,5.5,1920.0,325892789.377935,23.8432171384226,3.62814718696064
65077579,7.94144864137326,28.8060954910355,36.7912681156118,9.1,120,69980000,12.1947913304061,45.4854631511914
823422,1.9686736600092,61.2018562701555,61.6003775464723,5.5,2300,-147083835.755537,19.0241472431242,16.4049185915419
5165474,1.16223155669443,37.6043997604715,28.6354754325696,5.5,26050,7797795098.68143,30.4358788490025,2.88616092533644
246821,3.0419466709453102,4.86745675436588,23.5111987073094,5.5,18980,4429999.9,24.7271799142688,4.36102931100515
1240764,-1.93660397603628,59.6125043538837,38.1189481017067,5.5,3170,89452781.6263726,48.8157436433299,7.29362591431557
1396499,3.81237205366022,24.3973610833853,28.0159364396815,5.5,590,49479999.9,15.5942068592991,24.01224521455
4157192,19.1926758218895,19.0555929931025,38.0962813343447,5.4,840,82300000,21.2306172491047,24.7217175013672
82100243,0.58543314394471,26.9592324276031,26.4066172043428,8.7,26840,86035665071.2096,27.6544079087925,0.958397265329112
19176791,4.8653978507754,32.0783389537313,49.6267650803215,5.5,390,243700000,25.4127834089738,35.7763437934285
27695,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,1920.0,176780594.760508,24.7271799142688,10.7463953744479
10761698,2.63663306021979,19.2560788828189,28.1215193256042,5.5,1920.0,82701091.4183123,19.1269514125286,5.78349470517427
56100,3.0419466709453102,28.8060954910355,36.7912681156118,5.5,19740,176780594.760508,24.7271799142688,10.7463953744479
106823,0.577427638677121,28.8060954910355,36.7912681156118,5.5,4140,41551851.8518519,17.3663982097167,5.37224072714738
11311078,5.2136105860112,19.0049241253611,27.3555827290684,5.5,1650,924600000,20.1198731851264,23.0463598231227
8174897,3.0419466709453102,21.6395182620822,26.0335303122979,5.5,440,63452427,28.8570624298145,21.495465419002
1206474,-2.08630513223528,24.8611766470287,42.8164708921049,5.5,160,730876.6134,12.0846700700074,55.0408302685302
758014,7.53821939851396,96.5084717132055,104.550843062155,5.5,850,46000000,19.8989207280821,35.0139494280703
8208941,3.00439421550734,12.2491119646519,29.6993675455569,5.5,460,30000000,33.1478152886476,22.5610708406735
6477365,11.66374097913,52.9289434584401,67.1971456624257,2.3,920,237300000,30.7115516796726,13.6181903649926
6606500,-4.00943396226443,112.718574496907,107.553738648435,5.5,25800,25355410569.0154,24.7271799142688,10.7463953744479
10237530,9.99774409303364,55.6436554579462,58.3821193918374,5.5,4490,3384965975.25316,27.5177515947091,5.31042369241763
277381,3.23183260906467,32.4569602044965,36.9730813534471,5.5,30400,66639312.8881673,22.7180865407426,7.59994041548173
210996910,20.4778311126401,35.5141290838601,27.4297837763323,8.9,570,-1865620963.49087,43.3600616732301,19.612676402133
64474745,20.0707078146866,19.292023195998,15.5933909385954,5.5,1760,35000000,37.4588861757893,9.91498621545228
23820734,12.5777623393436,77.634883408788,60.6797189947638,5.5,1230,176780594.760508,79.5741068177302,7.20350392397431
