population,inflation,exports,imports,income,gni,fdi,industry,agri,iso_code
394921,0.12143464461496,37.0432692307692,43.3173076923077,5.6,5210,76202813.5002132,16.5113725961538,8.38700480769231,84
12643123,3.02272119663756,19.8724704276524,24.9607629492202,5.6,1230,174019952.063054,16.2907191907572,27.1090177212232,204
63893,1.92096800566845,47.1361363420877,22.059744042054,5.6,111800,476518083.75,5.63417624162806,0.25549040843763,60
772506,5.62999177986902,29.6639651797693,46.2571049554242,5.6,2840,-2786960.89013149,34.7144993674811,19.1516898551579,64
11936162,0.940742153381823,20.2725897739051,25.2306728196014,4.7,3120,-1129487271.3377,23.4919320082358,14.0009305293184,68
3318407,-1.05129600763481,34.6530176842424,48.5909529186708,5.6,6030,433013741.938227,24.5543105160336,6.08448546092261,70
2546402,1.89035916824198,31.3537305319898,46.4669588634197,5.6,6010,31807196.1610446,26.3730953810445,2.21254048644752,72
213196304,3.21176803803379,16.7950684328172,16.0953836716373,4.5,7820,37786286307.45,17.7016526354564,5.89324626563148,76
30910,1.92096800566845,30.5289067989681,39.3637003432345,5.6,5775.0,39619635210,23.2514238269639,7.4728799267029,92
441725,1.94031996607178,57.3561114159878,52.9348922424642,5.6,31210,565542275.429332,59.1336302400797,1.21750283610591,96
6934015,1.67244096855762,56.1209007621055,54.16092923613,5.6,9520,3624510000,21.8138156951281,3.48847693898,100
21522626,1.88443993781985,30.5289067989681,39.3637003432345,5.6,750,-98777856.0144418,32.5913247969388,18.3980789270946,854
12220227,7.32110643415513,4.54931999999994,22.2240099999999,5.6,220,8473943.201,10.74295,28.6249500000001,108
582640,0.60579580839551,24.8509820217494,59.8417545432132,5.6,2920,50177018.5807556,23.0872476526782,4.86405018483154,132
16396860,2.94029514263973,61.0418163559817,62.4611925020294,5.6,1530,3624644990.13295,34.5600606697168,22.6963952065525,116
26491087,2.43760882182242,15.2358435072159,18.5031369912027,5.6,1520,675186993.65287,23.0380654380784,17.4968650540914,120
38037204,0.716999632307852,29.3634480170965,31.4190824211379,5.6,43540,26558536715.035,23.2514238269639,7.4728799267029,124
67311,1.92096800566845,60.1287466350613,46.2198019341456,5.6,61880,6171022540.86376,7.95737551371471,0.442011756727529,136
5343020,1.71015659523149,15.1724799997493,34.3485400014428,5.6,460,34747196.4681,20.4481887620838,29.4959372264099,140
16644701,4.46414437232863,26.7161490487759,42.0142110926852,5.6,630,557692503.3123,15.9574740564936,46.8328453335089,148
19300315,3.04549084804331,31.533534451748,26.9706253708118,5.5,12990,8527994517.19414,29.960419189674,4.08431323801444,152
1411100000,2.4194218945778,18.5861392390289,16.1681565370193,5.6,10520,253095616058.58,37.8428263745761,7.69864251697224,156
50930662,2.52663500084712,13.4908818196109,20.4133495007104,2.8,5820,7458624984.21929,23.7880725208993,7.39086770152565,170
806166,1.92096800566845,5.67175210840519,28.0581825073439,5.6,1520,3873524.39159791,8.08945323604662,35.7974035819198,174
92853164,1.92096800566845,28.6049515263296,29.8868058018726,5.6,540,1498084807.8648,41.2135958862629,20.8834188843753,180
5702174,1.79537147083111,57.0127050989658,42.4095137873946,5.6,1760,-1983178866.50125,22.057854067117,11.2417476443825,178
