i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
410,156,300210.0,132.948,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,300490.0,1977.316,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,710812.0,0.244,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,847193.0,210.833,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,847330.0,5438.068,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,852520.0,331.453,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,854211.0,3930.315,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
410,156,870323.0,35.002,129956.000,3930.315,14712574.216,331.453,0.244,1977.316,5438.068,35.002,132.948,210.833
842,156,270900.0,27784840.731,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,271000.0,366915.145,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,300210.0,2892.969,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,300490.0,2594.192,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,710812.0,0.043,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,847193.0,1498.363,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,847330.0,6595.912,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,852520.0,1842.962,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,854211.0,154.878,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
842,156,870323.0,292680.748,27784840.731,154.878,366915.145,1842.962,0.043,2594.192,6595.912,292680.748,2892.969,1498.363
276,842,271000.0,36799.689,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,300210.0,1232.737,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,300490.0,30409.818,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,710812.0,0.633,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,847193.0,57.911,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,847330.0,1955.176,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,852520.0,841.648,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,854211.0,163.129,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
276,842,870323.0,465675.352,0,163.129,36799.689,841.648,0.633,30409.818,1955.176,465675.352,1232.737,57.911
392,842,271000.0,823315.344,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,300210.0,112.141,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,300490.0,1383.846,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,710812.0,0.830,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,847193.0,297.064,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,847330.0,21392.835,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,852520.0,989.880,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,854211.0,271.288,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
392,842,870323.0,1195863.000,0,271.288,823315.344,989.880,0.830,1383.846,21392.835,1195863.000,112.141,297.064
156,410,270900.0,448400.369,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,271000.0,1668680.918,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,300210.0,116.562,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,300490.0,1110.997,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,710812.0,0.103,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,847193.0,7560.947,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,847330.0,71865.618,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,852520.0,12336.980,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,854211.0,2342.030,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
156,410,870323.0,1251.208,448400.369,2342.030,1668680.918,12336.980,0.103,1110.997,71865.618,1251.208,116.562,7560.947
276,156,271000.0,71162.085,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,300210.0,2170.890,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,300490.0,16598.131,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,710812.0,0.015,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,847193.0,45.640,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,847330.0,3078.379,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
276,156,852520.0,722.309,0,432.034,71162.085,722.309,0.015,16598.131,3078.379,414347.349,2170.890,45.640
